饰物名字	大类型	副类型	详细类别	重量	价格	五行	耐久	"防御力(外,内)"	附加属性1	附加属性1数值	附加属性2	附加属性2数值	套装编号	要求等级	要求性别	要求体型	要求门派	在界面上显示的小图	在界面上显示的大图	说明文字	装备在身上的时候，使用的显示类型名字	丢落在地面的时候，使用哪一个物件资源	脚本文件	评价等级	是否能交易(0能1不能)	是否能丢弃(0能1不能)	流派需求	是否可维修（0是/1否）
白无常之诡毒血佩	0	102	2121	10	10000	0	100						21021	60	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其血佩看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	21	0
白无常之诡毒血佩	0	102	2122	10	10000	0	100						21022	60	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其血佩看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	21	0
白无常之诡毒血佩	0	102	2123	10	10000	0	100						21023	60	2	3	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其血佩看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	21	0
白无常之诡毒血佩	0	102	2124	10	10000	0	100						21024	60	2	4	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其血佩看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	21	0
白无常之诡毒黑环	0	102	2125	10	10000	0	100						21021	60	1	1	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其黑环看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒黑环	0	102	2126	10	10000	0	100						21022	60	1	2	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其黑环看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒黑环	0	102	2127	10	10000	0	100						21023	60	2	3	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其黑环看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒黑环	0	102	2128	10	10000	0	100						21024	60	2	4	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其黑环看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒血佩	0	102	21219	10	0	0	100						921021	60	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其血佩看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒血佩	0	102	21229	10	0	0	100						921022	60	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其血佩看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒血佩	0	102	21239	10	0	0	100						921023	60	2	3	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其血佩看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒血佩	0	102	21249	10	0	0	100						921024	60	2	4	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其血佩看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒黑环	0	102	21259	10	0	0	100						921021	60	1	1	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其黑环看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒黑环	0	102	21269	10	0	0	100						921022	60	1	2	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其黑环看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒黑环	0	102	21279	10	0	0	100						921023	60	2	3	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其黑环看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
白无常之诡毒黑环	0	102	21289	10	0	0	100						921024	60	2	4	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	五毒蛊师弟子修炼万蛊之术，可驭蠶蛊而不伤己者，由教主亲赐名号为白无常，其黑环看似平常，实含蛊毒无数，甚为诡异		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	21	0
秘法玉佩	0	102	23111	5	21	0	50						23111	35	1	1	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	昆仑天师高级弟子所戴玉佩，内蕴特殊法力，可降妖除魔。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	23	0
秘法玉佩	0	102	23112	5	21	0	50						23112	35	1	2	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	昆仑天师高级弟子所戴玉佩，内蕴特殊法力，可降妖除魔。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	23	0
镇妖道人之青灵玉佩	0	102	23121	10	3334	0	100						23121	50	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	镇妖道人降妖无数，所戴玉佩蕴藏其毕生道法，妖魔见者皆避而远之。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	23	0
镇妖道人之青灵玉佩	0	102	23122	10	3334	0	100						23122	50	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	镇妖道人降妖无数，所戴玉佩蕴藏其毕生道法，妖魔见者皆避而远之。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	23	0
镇妖道人之青灵宝戒	0	102	23125	10	3334	0	100						23121	50	1	1	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	镇妖道人降妖无数，所戴宝戒蕴藏其毕生道法，妖魔见者皆避而远之。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	23	0
镇妖道人之青灵宝戒	0	102	23126	10	3334	0	100						23122	50	1	2	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	镇妖道人降妖无数，所戴宝戒蕴藏其毕生道法，妖魔见者皆避而远之。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	23	0
暴杀铁戒	0	102	25111	5	21	0	50						25111	35	1	1	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教圣战高级弟子所戴，精铁打造而成。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	25	0
暴杀铁戒	0	102	25112	5	21	0	50						25112	35	1	2	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教圣战高级弟子所戴，精铁打造而成。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	25	0
暴杀铁戒	0	102	25113	5	21	0	50						25113	35	2	3	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教圣战高级弟子所戴，精铁打造而成。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	25	0
暴杀铁戒	0	102	25114	5	21	0	50						25114	35	2	4	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教圣战高级弟子所戴，精铁打造而成。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	25	0
护教使之烈焰宝戒	0	102	25121	10	3334	0	100						25121	50	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	护教使所戴宝戒，稀世材料打造而成，历经千锤百炼，色如烈焰，故名。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	25	0
护教使之烈焰宝戒	0	102	25122	10	3334	0	100						25122	50	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	护教使所戴宝戒，稀世材料打造而成，历经千锤百炼，色如烈焰，故名。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	25	0
护教使之烈焰宝戒	0	102	25123	10	3334	0	100						25123	50	2	3	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	护教使所戴宝戒，稀世材料打造而成，历经千锤百炼，色如烈焰，故名。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	25	0
护教使之烈焰宝戒	0	102	25124	10	3334	0	100						25124	50	2	4	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	护教使所戴宝戒，稀世材料打造而成，历经千锤百炼，色如烈焰，故名。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	25	0
护教使之烈焰金戒	0	102	25125	10	3334	0	100						25121	50	1	1	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	护教使所戴金戒，纯金打造而成，历经千锤百炼，色如烈焰，故名。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	25	0
护教使之烈焰金戒	0	102	25126	10	3334	0	100						25122	50	1	2	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	护教使所戴金戒，纯金打造而成，历经千锤百炼，色如烈焰，故名。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	25	0
护教使之烈焰金戒	0	102	25127	10	3334	0	100						25123	50	2	3	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	护教使所戴金戒，纯金打造而成，历经千锤百炼，色如烈焰，故名。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	25	0
护教使之烈焰金戒	0	102	25128	10	3334	0	100						25124	50	2	4	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	护教使所戴金戒，纯金打造而成，历经千锤百炼，色如烈焰，故名。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	25	0
死士玄铁戒	0	102	26111	5	21	0	50						26111	35	1	1	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教阵兵高级弟子所戴戒指，玄铁打造，可有效保护手指。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	26	0
死士玄铁戒	0	102	26112	5	21	0	50						26112	35	1	2	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教阵兵高级弟子所戴戒指，玄铁打造，可有效保护手指。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	26	0
死士玄铁戒	0	102	26113	5	21	0	50						26113	35	2	3	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教阵兵高级弟子所戴戒指，玄铁打造，可有效保护手指。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	26	0
死士玄铁戒	0	102	26114	5	21	0	50						26114	35	2	4	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教阵兵高级弟子所戴戒指，玄铁打造，可有效保护手指。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	26	0
掌旗使之赤血宝戒	0	102	26121	10	3334	0	100						26121	50	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	掌旗使精通铸造之术，精选上等精钢，千锤百炼，打造上等宝戒，名为赤血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	26	0
掌旗使之赤血宝戒	0	102	26122	10	3334	0	100						26122	50	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	掌旗使精通铸造之术，精选上等精钢，千锤百炼，打造上等宝戒，名为赤血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	26	0
掌旗使之赤血宝戒	0	102	26123	10	3334	0	100						26123	50	2	3	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	掌旗使精通铸造之术，精选上等精钢，千锤百炼，打造上等宝戒，名为赤血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	26	0
掌旗使之赤血宝戒	0	102	26124	10	3334	0	100						26124	50	2	4	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	掌旗使精通铸造之术，精选上等精钢，千锤百炼，打造上等宝戒，名为赤血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	26	0
掌旗使之赤血金戒	0	102	26125	10	3334	0	100						26121	50	1	1	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	掌旗使精通铸造之术，精选上等精钢，千锤百炼，打造上等金戒，名为赤血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	26	0
掌旗使之赤血金戒	0	102	26126	10	3334	0	100						26122	50	1	2	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	掌旗使精通铸造之术，精选上等精钢，千锤百炼，打造上等金戒，名为赤血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	26	0
掌旗使之赤血金戒	0	102	26127	10	3334	0	100						26123	50	2	3	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	掌旗使精通铸造之术，精选上等精钢，千锤百炼，打造上等金戒，名为赤血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	26	0
掌旗使之赤血金戒	0	102	26128	10	3334	0	100						26124	50	2	4	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	掌旗使精通铸造之术，精选上等精钢，千锤百炼，打造上等金戒，名为赤血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	26	0
灭魂戒	0	102	27111	5	21	0	50						27111	35	1	1	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教血人高级弟子所戴戒指，色灰暗，玄铁打造。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	27	0
灭魂戒	0	102	27112	5	21	0	50						27112	35	1	2	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教血人高级弟子所戴戒指，色灰暗，玄铁打造。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	27	0
灭魂戒	0	102	27113	5	21	0	50						27113	35	2	3	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教血人高级弟子所戴戒指，色灰暗，玄铁打造。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	27	0
灭魂戒	0	102	27114	5	21	0	50						27114	35	2	4	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	明教血人高级弟子所戴戒指，色灰暗，玄铁打造。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	27	0
青冥使之暗灵宝戒	0	102	27121	10	3334	0	100						27121	50	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	青冥使于黑夜扰敌，令围攻明教之敌溃不成军，教主大喜，授暗灵宝戒。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	27	0
青冥使之暗灵宝戒	0	102	27122	10	3334	0	100						27122	50	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	青冥使于黑夜扰敌，令围攻明教之敌溃不成军，教主大喜，授暗灵宝戒。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	27	0
青冥使之暗灵宝戒	0	102	27123	10	3334	0	100						27123	50	2	3	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	青冥使于黑夜扰敌，令围攻明教之敌溃不成军，教主大喜，授暗灵宝戒。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	27	0
青冥使之暗灵宝戒	0	102	27124	10	3334	0	100						27124	50	2	4	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	青冥使于黑夜扰敌，令围攻明教之敌溃不成军，教主大喜，授暗灵宝戒。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	27	0
青冥使之暗灵金戒	0	102	27125	10	3334	0	100						27121	50	1	1	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	青冥使于黑夜扰敌，令围攻明教之敌溃不成军，教主大喜，授暗灵金戒。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	27	0
青冥使之暗灵金戒	0	102	27126	10	3334	0	100						27122	50	1	2	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	青冥使于黑夜扰敌，令围攻明教之敌溃不成军，教主大喜，授暗灵金戒。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	27	0
青冥使之暗灵金戒	0	102	27127	10	3334	0	100						27123	50	2	3	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	青冥使于黑夜扰敌，令围攻明教之敌溃不成军，教主大喜，授暗灵金戒。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	27	0
青冥使之暗灵金戒	0	102	27128	10	3334	0	100						27124	50	2	4	新手禁用	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	青冥使于黑夜扰敌，令围攻明教之敌溃不成军，教主大喜，授暗灵金戒。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	27	0
心舞玉佩	0	102	29111	5	21	0	50						29111	35	2	3	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	翠烟舞仙高级弟子随心而舞时所戴玉佩，光润如脂。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	29	0
心舞玉佩	0	102	29112	5	21	0	50						29112	35	2	4	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	翠烟舞仙高级弟子随心而舞时所戴玉佩，光润如脂。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	29	0
秋月使之紫晶佩	0	102	29121	10	3334	0	100						29121	50	2	3	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	翠烟舞仙弟子于月明之夜，踏歌而舞所戴之佩，晶莹剔透。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	29	0
秋月使之紫晶佩	0	102	29122	10	3334	0	100						29122	50	2	4	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	翠烟舞仙弟子于月明之夜，踏歌而舞所戴之佩，晶莹剔透。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	29	0
秋月使之红玉戒	0	102	29125	10	3334	0	100						29121	50	2	3	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	翠烟舞仙弟子于月明之夜，踏歌而舞所戴玉戒，鲜红若血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	29	0
秋月使之红玉戒	0	102	29126	10	3334	0	100						29122	50	2	4	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	翠烟舞仙弟子于月明之夜，踏歌而舞所戴玉戒，鲜红若血。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	29	0
探玉宝戒	0	102	30111	5	21	0	50						30111	35	2	3	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	翠烟灵女高级弟子所戴宝戒，美玉嵌饰，价值连城。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	30	0
探玉宝戒	0	102	30112	5	21	0	50						30112	35	2	4	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	翠烟灵女高级弟子所戴宝戒，美玉嵌饰，价值连城。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	30	0
迎香使之百合香囊	0	102	30121	10	3334	0	100						30121	50	2	3	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	迎香使所用香囊，内藏百合，香味浓郁。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	30	0
迎香使之百合香囊	0	102	30122	10	3334	0	100						30122	50	2	4	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	迎香使所用香囊，内藏百合，香味浓郁。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	30	0
迎香使之桃花钻戒	0	102	30125	10	3334	0	100						30121	50	2	3	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	迎香使所戴钻戒，上有桃花图案，加上精心打磨的钻石，光彩夺目。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	30	0
迎香使之桃花钻戒	0	102	30126	10	3334	0	100						30122	50	2	4	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	迎香使所戴钻戒，上有桃花图案，加上精心打磨的钻石，光彩夺目。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	30	0
八部天龙之天众扳指	0	102	231	10	10000	0	100						2031	70	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林俗家弟子趋佛教守护神八部天龙之境，师门铸天众扳指以授，令其护法		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	2	0
八部天龙之天众扳指	0	102	232	10	10000	0	100						2032	70	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林俗家弟子趋佛教守护神八部天龙之境，师门铸天众扳指以授，令其护法		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	2	0
八部天龙之天众玉戒	0	102	235	10	10000	0	100						2031	70	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林俗家弟子趋佛教守护神八部天龙之境，师门铸天众玉戒以授，令其护法		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	2	0
八部天龙之天众玉戒	0	102	236	10	10000	0	100						2032	70	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林俗家弟子趋佛教守护神八部天龙之境，师门铸天众玉戒以授，令其护法		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	2	0
无量法尊之禅定扳指	0	102	331	10	10000	0	100						3031	70	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林禅僧弟子修为外禅内定，是为禅定，师门制禅定扳指以授，令其修为不乱。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	3	0
无量法尊之禅定扳指	0	102	332	10	10000	0	100						3032	70	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林禅僧弟子修为外禅内定，是为禅定，师门制禅定扳指以授，令其修为不乱。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	3	0
无量法尊之禅定玉戒	0	102	335	10	10000	0	100						3031	70	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林禅僧弟子修为外禅内定，是为禅定，师门制禅定玉戒以授，令其修为不乱。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	3	0
无量法尊之禅定玉戒	0	102	336	10	10000	0	100						3032	70	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林禅僧弟子修为外禅内定，是为禅定，师门制禅定玉戒以授，令其修为不乱。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	3	0
八宝罗汉之大乘扳指	0	102	431	10	10000	0	100						4031	70	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林武僧弟子悟正觉而明了如来，授罗汉堂首座，掌管少林十八罗汉，授正觉扳指。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	4	0
八宝罗汉之大乘扳指	0	102	432	10	10000	0	100						4032	70	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林武僧弟子悟正觉而明了如来，授罗汉堂首座，掌管少林十八罗汉，授正觉扳指。		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	4	0
